::1 - - [01/Jan/2021:11:13:18 +0000] "GET /media/a.jpg HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.284"
::1 - - [01/Jan/2021:15:19:46 +0000] "POST /auth/regist HTTP/1.1" 500 92 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:20:03 +0000] "POST /auth/regist HTTP/1.1" 500 92 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:20:52 +0000] "POST /auth/regist HTTP/1.1" 200 69 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:22:49 +0000] "POST /auth/login HTTP/1.1" 200 262 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:23:18 +0000] "POST /auth/login HTTP/1.1" 400 55 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:23:43 +0000] "POST /auth/login HTTP/1.1" 200 257 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:34:18 +0000] "PUT /item/5 HTTP/1.1" 200 37 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:34:49 +0000] "PUT /item/5 HTTP/1.1" 200 81 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:36:38 +0000] "PUT /item/5 HTTP/1.1" 400 60 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:36:48 +0000] "PUT /item/5 HTTP/1.1" 200 92 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:36:56 +0000] "PUT /item/5 HTTP/1.1" 200 92 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:37:04 +0000] "PUT /item/5 HTTP/1.1" 200 92 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:37:10 +0000] "PUT /item/5 HTTP/1.1" 400 60 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:37:24 +0000] "PUT /item/5 HTTP/1.1" 400 60 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:37:31 +0000] "PUT /item/5 HTTP/1.1" 200 106 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:37:59 +0000] "PUT /item/5 HTTP/1.1" 500 55 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:38:00 +0000] "PUT /item/5 HTTP/1.1" 500 55 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:38:18 +0000] "PUT /item/5 HTTP/1.1" 200 106 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:38:31 +0000] "PUT /item/5 HTTP/1.1" 200 128 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:38:44 +0000] "PUT /item/5 HTTP/1.1" 200 140 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:38:57 +0000] "PUT /item/5 HTTP/1.1" 200 153 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:39:09 +0000] "PUT /item/5 HTTP/1.1" 200 151 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:39:14 +0000] "PUT /item/5 HTTP/1.1" 200 152 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:39:50 +0000] "PUT /item/5 HTTP/1.1" 400 62 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:39:51 +0000] "PUT /item/5 HTTP/1.1" 400 62 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:39:58 +0000] "POST /auth/login HTTP/1.1" 400 65 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:40:04 +0000] "POST /auth/login HTTP/1.1" 200 262 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:40:08 +0000] "PUT /item/5 HTTP/1.1" 400 52 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:44:56 +0000] "DELETE /item/5 HTTP/1.1" 400 52 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:45:03 +0000] "POST /auth/login HTTP/1.1" 200 257 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:45:06 +0000] "DELETE /item/5 HTTP/1.1" 200 54 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:45:51 +0000] "GET /item/all HTTP/1.1" 200 142 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:46:01 +0000] "GET /item/all HTTP/1.1" 200 20735 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:49:17 +0000] "POST /item/create HTTP/1.1" 400 55 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:49:48 +0000] "POST /item/create HTTP/1.1" 200 64 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:50:40 +0000] "POST /item/create HTTP/1.1" 200 64 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:51:39 +0000] "POST /item/create HTTP/1.1" 200 64 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:51:49 +0000] "POST /item/create HTTP/1.1" 200 64 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:58:08 +0000] "GET /user/all HTTP/1.1" 404 147 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:58:16 +0000] "GET /user/all HTTP/1.1" 500 93 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:58:24 +0000] "GET /user/all HTTP/1.1" 500 51 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:58:31 +0000] "GET /user/all HTTP/1.1" 200 1921 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:58:47 +0000] "GET /user/all HTTP/1.1" 200 1726 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Jan/2021:15:58:48 +0000] "GET /user/all HTTP/1.1" 200 1726 "-" "PostmanRuntime/7.26.8"
